,province,municipality,latitude,longitude,detalles,calle,barrio,distrito
0,Toledo,Numancia de la Sagra,40.0675955,-3.8225891,"{'road': 'Calle de los Olmos', 'hamlet': 'El Pinar de Villeriche', 'village': 'Numancia de la Sagra', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45290', 'country': 'España', 'country_code': 'es'}",Calle de los Olmos,,
1,Madrid,Madrid,40.4646164,-3.6489179,"{'house_number': '29', 'road': 'Calle de Alejandro Villegas', 'quarter': 'Canillas', 'suburb': 'Hortaleza', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28043', 'country': 'España', 'country_code': 'es'}","Calle de Alejandro Villegas, 23",Canillas,Hortaleza
2,Madrid,San Sebastián de los Reyes,40.5500865,-3.6278085,"{'road': 'Calle Cardenal Carranza', 'town': 'San Sebastián de los Reyes', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28700', 'country': 'España', 'country_code': 'es'}",Calle Cardenal Carranza,,Centro Urbano
3,Madrid,Villamanrique de Tajo,40.069197,-3.241383,"{'road': 'Calle Cuevas del Norte', 'village': 'Villamanrique de Tajo', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28598', 'country': 'España', 'country_code': 'es'}",Calle Cuevas del Norte,,
4,Toledo,Recas,40.0536974,-3.9912159,"{'road': 'Calle del Sol', 'village': 'Recas', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45211', 'country': 'España', 'country_code': 'es'}",Calle del Sol,,
5,Toledo,Cedillo del Condado,40.1171401,-3.9246053,"{'road': 'Camino Casarrubios', 'residential': 'Cedillo del Condado', 'village': 'Cedillo del Condado', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45214', 'country': 'España', 'country_code': 'es'}",Camino Casarrubios,Cedillo del Condado,
6,Madrid,Rascafría,40.9073967,-3.8815996,"{'road': 'Calle Pintores de El Paular', 'neighbourhood': 'Sexmo de Lozoya', 'village': 'Rascafría', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28740', 'country': 'España', 'country_code': 'es'}",Calle Pintores de El Paular,Sexmo de Lozoya,
7,Madrid,Madrid,40.4855273,-3.6155982,"{'road': 'Avenida de José Antonio Corrales', 'neighbourhood': 'Valdebebas', 'quarter': 'Valdefuentes', 'suburb': 'Hortaleza', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28055', 'country': 'España', 'country_code': 'es'}",Avenida de José Antonio Corrales,Valdefuentes,Hortaleza
8,Madrid,Manzanares el Real,40.727241,-3.8627075,"{'road': 'Calle Cañada', 'neighbourhood': 'Urbanización El Yelmo', 'village': 'Manzanares el Real', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28410', 'country': 'España', 'country_code': 'es'}",Calle Cañada,Urbanización El Yelmo,
9,Madrid,Miraflores de la Sierra,40.81076,-3.7651952,"{'road': 'Travesía de la Luz', 'village': 'Miraflores de la Sierra', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28792', 'country': 'España', 'country_code': 'es'}",Travesía de la Luz,,
10,Toledo,El Viso de San Juan,40.1441987,-3.9242105,"{'residential': 'El Viso de San Juan', 'village': 'El Viso de San Juan', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45215', 'country': 'España', 'country_code': 'es'}",El Viso de San Juan,El Viso de San Juan,
11,Madrid,Madrid,40.3925829,-3.6680531,"{'house_number': '7', 'road': 'Calle Gregorio Sanz', 'quarter': 'San Diego', 'suburb': 'Puente de Vallecas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28053', 'country': 'España', 'country_code': 'es'}",Calle Gregorio Sanz,San Diego,Puente de Vallecas
12,Madrid,Madrid,40.4436001,-3.6477389,"{'road': 'Calle de Agastia', 'quarter': 'San Pascual', 'suburb': 'Ciudad Lineal', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28027', 'country': 'España', 'country_code': 'es'}",Calle de Agastia,San Pascual,Ciudad Lineal
13,Madrid,Galapagar,40.5756061,-4.0067032,"{'house_number': '17', 'road': 'Calle del Puente de Cazorla', 'quarter': 'Los Berruecos', 'suburb': 'Encinar-San Alberto-vista Nevada', 'town': 'Galapagar', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28260', 'country': 'España', 'country_code': 'es'}",Calle del Puente de Cazorla,Los Berruecos,Encinar-San Alberto-vista Nevada
14,Madrid,Madrid,40.4312011,-3.7181341,"{'house_number': '14', 'road': 'Calle de Altamirano', 'quarter': 'Argüelles', 'suburb': 'Moncloa-Aravaca', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28008', 'country': 'España', 'country_code': 'es'}",Calle de Altamirano,Argüelles,Moncloa-Aravaca
15,Madrid,Arganda,40.2998979,-3.4342379,"{'road': 'Calle de la Poza', 'town': 'Arganda del Rey', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28500', 'country': 'España', 'country_code': 'es'}",Calle de la Poza,,Centro
16,Madrid,San Sebastián de los Reyes,40.5462991,-3.6281483,"{'road': 'Calle Ramón Esteban', 'town': 'San Sebastián de los Reyes', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '20108', 'country': 'España', 'country_code': 'es'}",Calle Ramón Esteban,,Centro Urbano
17,Madrid,San Lorenzo de el Escorial,40.592936,-4.148138,"{'house_number': '16', 'road': 'Calle Francisco Muñoz', 'town': 'San Lorenzo de El Escorial', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28200', 'country': 'España', 'country_code': 'es'}",Calle Francisco Muñoz,,Centro - Casco Histórico
18,Toledo,Camarena,40.0889599,-4.11882,"{'road': 'Calle Granados', 'village': 'Camarena', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45180', 'country': 'España', 'country_code': 'es'}",Calle Granados,,
19,Madrid,Madrid,40.3982963,-3.6734707,"{'house_number': '14', 'road': 'Calle Seco', 'quarter': 'Adelfas', 'suburb': 'Retiro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28007', 'country': 'España', 'country_code': 'es'}",Calle Seco,Adelfas,Retiro
20,Madrid,Madrid,40.4001572,-3.6978897,"{'house_number': '34', 'road': 'Calle de Ciudad Real', 'quarter': 'Delicias', 'suburb': 'Arganzuela', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28045', 'country': 'España', 'country_code': 'es'}",Calle de Ciudad Real,Delicias,Arganzuela
21,Madrid,Madrid,40.3924838,-3.7449843,"{'road': 'Calle de José Maurelo', 'quarter': 'Aluche', 'suburb': 'Latina', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28047', 'country': 'España', 'country_code': 'es'}",Calle de José Maurelo,Aluche,Latina
22,Madrid,Madrid,40.3913672,-3.669951,"{'house_number': '6', 'road': 'Calle Hachero', 'quarter': 'San Diego', 'suburb': 'Puente de Vallecas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28053', 'country': 'España', 'country_code': 'es'}",Calle Hachero,San Diego,Puente de Vallecas
23,Madrid,Aldea del Fresno,40.3220018,-4.1977733,"{'road': 'Calle Mayor', 'neighbourhood': 'Los Monteros', 'village': 'Aldea del Fresno', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28620', 'country': 'España', 'country_code': 'es'}",Calle Mayor,Los Monteros,
24,Madrid,Aranjuez,40.0286737,-3.6013388,"{'road': 'Calle de la Concha', 'quarter': 'Plaza de Toros', 'town': 'Aranjuez', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28300', 'country': 'España', 'country_code': 'es'}",Calle de la Concha,Plaza de Toros,Centro
25,Madrid,Madrid,40.4203748,-3.6768541,"{'road': 'Calle del Doctor Castelo', 'quarter': 'Ibiza', 'suburb': 'Retiro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28009', 'country': 'España', 'country_code': 'es'}",Calle del Doctor Castelo,Ibiza,Retiro
26,Madrid,Villanueva del Pardillo,40.4911883,-3.9639014,"{'road': 'Calle Cervantes', 'residential': 'Sanabria', 'suburb': 'Las Vegas - Santa María', 'town': 'Villanueva del Pardillo', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28692', 'country': 'España', 'country_code': 'es'}",Calle Cervantes,Sanabria,Las Vegas - Santa María
